date,reason
2019-10-16,Sukkot III (CH''M)
2019-10-17,Sukkot IV (CH''M)
2019-10-18,Sukkot V (CH''M)
2019-10-19,Sukkot VI (CH''M)
2019-10-20,Sukkot VII (Hoshana Raba)
2019-10-21,Shmini Atzeret
2019-10-22,Simchat Torah
2020-04-09,Pesach I
2020-04-10,Pesach II
2020-04-11,Pesach III (CH''M)
2020-04-12,Pesach IV (CH''M)
2020-04-13,Pesach V (CH''M)
2020-04-14,Pesach VI (CH''M)
2020-04-15,Pesach VII
2020-04-16,Pesach VIII
2020-05-29,Shavuot I
2020-05-30,Shavuot II
2020-09-19,Rosh Hashana 5781
2020-09-20,Rosh Hashana II
2020-09-28,Yom Kippur
2020-10-03,Sukkot I
2020-10-04,Sukkot II
2020-10-05,Sukkot III (CH''M)
2020-10-06,Sukkot IV (CH''M)
2020-10-07,Sukkot V (CH''M)
2020-10-08,Sukkot VI (CH''M)
2020-10-09,Sukkot VII (Hoshana Raba)
2020-10-10,Shmini Atzeret
2020-10-11,Simchat Torah
2021-03-28,Pesach I
2021-03-29,Pesach II
2021-03-30,Pesach III (CH''M)
2021-03-31,Pesach IV (CH''M)
2021-04-01,Pesach V (CH''M)
2021-04-02,Pesach VI (CH''M)
2021-04-03,Pesach VII
2021-04-04,Pesach VIII
2021-05-17,Shavuot I
2021-05-18,Shavuot II
2021-09-07,Rosh Hashana 5782
2021-09-08,Rosh Hashana II
2021-09-16,Yom Kippur
2021-09-21,Sukkot I
2021-09-22,Sukkot II
2021-09-23,Sukkot III (CH''M)
2021-09-24,Sukkot IV (CH''M)
2021-09-25,Sukkot V (CH''M)
2021-09-26,Sukkot VI (CH''M)
2021-09-27,Sukkot VII (Hoshana Raba)
2021-09-28,Shmini Atzeret
2021-09-29,Simchat Torah
2022-04-16,Pesach I
2022-04-17,Pesach II
2022-04-18,Pesach III (CH''M)
2022-04-19,Pesach IV (CH''M)
2022-04-20,Pesach V (CH''M)
2022-04-21,Pesach VI (CH''M)
2022-04-22,Pesach VII
2022-04-23,Pesach VIII
2022-06-05,Shavuot I
2022-06-06,Shavuot II
2022-09-26,Rosh Hashana 5783
2022-09-27,Rosh Hashana II
2022-10-05,Yom Kippur
2022-10-10,Sukkot I
2022-10-11,Sukkot II
2022-10-12,Sukkot III (CH''M)
2022-10-13,Sukkot IV (CH''M)
2022-10-14,Sukkot V (CH''M)
2022-10-15,Sukkot VI (CH''M)
2022-10-16,Sukkot VII (Hoshana Raba)
2022-10-17,Shmini Atzeret
2022-10-18,Simchat Torah
2023-04-06,Pesach I
2023-04-07,Pesach II
2023-04-08,Pesach III (CH''M)
2023-04-09,Pesach IV (CH''M)
2023-04-10,Pesach V (CH''M)
2023-04-11,Pesach VI (CH''M)
2023-04-12,Pesach VII
2023-04-13,Pesach VIII
2023-05-26,Shavuot I
2023-05-27,Shavuot II
2023-09-16,Rosh Hashana 5784
2023-09-17,Rosh Hashana II
2023-09-25,Yom Kippur
2023-09-30,Sukkot I
2023-10-01,Sukkot II
2023-10-02,Sukkot III (CH''M)
2023-10-03,Sukkot IV (CH''M)
2023-10-04,Sukkot V (CH''M)
2023-10-05,Sukkot VI (CH''M)
2023-10-06,Sukkot VII (Hoshana Raba)
2023-10-07,Shmini Atzeret
2023-10-08,Simchat Torah
2024-04-23,Pesach I
2024-04-24,Pesach II
2024-04-25,Pesach III (CH''M)
2024-04-26,Pesach IV (CH''M)
2024-04-27,Pesach V (CH''M)
2024-04-28,Pesach VI (CH''M)
2024-04-29,Pesach VII
2024-04-30,Pesach VIII
2024-06-12,Shavuot I
2024-06-13,Shavuot II
2024-10-03,Rosh Hashana 5785
2024-10-04,Rosh Hashana II
2024-10-12,Yom Kippur
2024-10-17,Sukkot I
2024-10-18,Sukkot II
2024-10-19,Sukkot III (CH''M)
2024-10-20,Sukkot IV (CH''M)
2024-10-21,Sukkot V (CH''M)
2024-10-22,Sukkot VI (CH''M)
2024-10-23,Sukkot VII (Hoshana Raba)
2024-10-24,Shmini Atzeret
2024-10-25,Simchat Torah
2025-04-13,Pesach I
2025-04-14,Pesach II
2025-04-15,Pesach III (CH''M)
2025-04-16,Pesach IV (CH''M)
2025-04-17,Pesach V (CH''M)
2025-04-18,Pesach VI (CH''M)
2025-04-19,Pesach VII
2025-04-20,Pesach VIII
2025-06-02,Shavuot I
2025-06-03,Shavuot II
2025-09-23,Rosh Hashana 5786
2025-09-24,Rosh Hashana II
2025-10-02,Yom Kippur
2025-10-07,Sukkot I
2025-10-08,Sukkot II
2025-10-09,Sukkot III (CH''M)
2025-10-10,Sukkot IV (CH''M)
2025-10-11,Sukkot V (CH''M)
2025-10-12,Sukkot VI (CH''M)
2025-10-13,Sukkot VII (Hoshana Raba)
2025-10-14,Shmini Atzeret
2025-10-15,Simchat Torah
2026-04-02,Pesach I
2026-04-03,Pesach II
2026-04-04,Pesach III (CH''M)
2026-04-05,Pesach IV (CH''M)
2026-04-06,Pesach V (CH''M)
2026-04-07,Pesach VI (CH''M)
2026-04-08,Pesach VII
2026-04-09,Pesach VIII
2026-05-22,Shavuot I
2026-05-23,Shavuot II
2026-09-12,Rosh Hashana 5787
2026-09-13,Rosh Hashana II
2026-09-21,Yom Kippur
2026-09-26,Sukkot I
2026-09-27,Sukkot II
2026-09-28,Sukkot III (CH''M)
2026-09-29,Sukkot IV (CH''M)
2026-09-30,Sukkot V (CH''M)
2026-10-01,Sukkot VI (CH''M)
2026-10-02,Sukkot VII (Hoshana Raba)
2026-10-03,Shmini Atzeret
2026-10-04,Simchat Torah
2027-04-22,Pesach I
2027-04-23,Pesach II
2027-04-24,Pesach III (CH''M)
2027-04-25,Pesach IV (CH''M)
2027-04-26,Pesach V (CH''M)
2027-04-27,Pesach VI (CH''M)
2027-04-28,Pesach VII
2027-04-29,Pesach VIII
2027-06-11,Shavuot I
2027-06-12,Shavuot II
